time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z
-8,-64.15904114,0,-1.974,0,0,0
-7.9,-64.1590411,-1.77E-07,-1.97399967,-3.59E-06,-1.15E-06,1.37E-07
-7.8,-64.15904068,-2.47E-06,-1.973996291,-4.68E-05,-1.33E-05,1.98E-06
-7.7,-64.15903206,-9.81E-06,-1.973988518,-1.74E-04,-4.21E-05,8.14E-06
-7.6,-64.15903071,-2.49E-05,-1.973978456,-4.16E-04,-8.11E-05,2.11E-05
-7.5,-64.15902204,-5.02E-05,-1.973971082,-7.89E-04,-1.11E-04,4.25E-05
-7.4,-64.15900705,-8.80E-05,-1.973973572,-0.001294676,-1.03E-04,7.21E-05
-7.3,-64.15899475,-1.40E-04,-1.973994579,-0.001923916,-1.78E-05,1.07E-04
-7.2,-64.15897906,-2.06E-04,-1.974043439,-0.002654606,1.91E-04,1.43E-04
-7.1,-64.15896171,-2.86E-04,-1.974129316,-0.003453301,5.73E-04,1.71E-04
-7,-64.15893677,-3.74E-04,-1.974260354,-0.004275971,0.001178232,1.83E-04
-6.9,-64.15891354,-4.64E-04,-1.974442946,-0.005069747,0.002053994,1.65E-04
-6.8,-64.15889352,-5.47E-04,-1.97468118,-0.005774999,0.003244506,1.04E-04
-6.7,-64.15887799,-6.13E-04,-1.974976438,-0.006326918,0.004786503,-2.03E-05
-6.6,-64.15886022,-6.50E-04,-1.975327089,-0.006656348,0.006706342,-2.26E-04
-6.5,-64.1588483,-6.42E-04,-1.975728281,-0.006690503,0.009017185,-5.32E-04
-6.4,-64.15884217,-5.74E-04,-1.976171924,-0.006354435,0.011717335,-9.59E-04
-6.3,-64.1588336,-4.27E-04,-1.97664695,-0.005573208,0.014789461,-0.001525198
-6.2,-64.15882906,-1.87E-04,-1.977139833,-0.004273489,0.018199468,-0.002249323
-6.1,-64.15882671,1.62E-04,-1.977635196,-0.00238318,0.021894161,-0.003145095
-6,-64.15882396,6.38E-04,-1.978116313,1.71E-04,0.025798377,-0.004219348
-5.9,-64.1588098,0.001259626,-1.978565476,0.003464544,0.029813942,-0.005468835
-5.8,-64.15880304,0.00204494,-1.97896445,0.007575388,0.03382271,-0.006880249
-5.7,-64.1587839,0.003006346,-1.979295331,0.012576297,0.037693673,-0.008433579
-5.6,-64.15875534,0.00414422,-1.979541956,0.018527453,0.041291225,-0.010106716
